edge,i,j,roi1,roi2,network1,network2,t_score,neg_log10_p,p_value
69,0,70,Lingual Gyrus L,Precuneous Cortex L,Vis,Cont,-5.348034743411919,2.5229221725572004,0.002999700029996999
277,1,64,Occipital Fusiform Gyrus L,Frontal Pole L,Vis,Cont,-4.838059643887074,1.520036484319712,0.0301969803019698
335,1,122,Occipital Fusiform Gyrus L,Cingulate Gyrus Post R,Vis,SomMot,-4.9706280376388925,1.7545307594627129,0.0175982401759824
2445,11,147,Cuneal Cortex L,Middle Temporal Gyrus TempOcci R,Vis,SalVentAttn,4.800978523426698,1.4425362253712048,0.0360963903609639
2495,11,197,Cuneal Cortex L,Precuneous Cortex R,Vis,Default,4.9392544489831955,1.701190350867156,0.019898010198980104
2515,12,14,Cuneal Cortex L,Planum Polare L,Vis,SomMot,4.7976134960661145,1.4330170611178024,0.0368963103689631
5020,24,161,Superior Parietal Lobule L,Temporal Pole R,SomMot,Limbic,5.545845153594753,3.0000434272768626,0.0009999000099990003
5021,24,162,Superior Parietal Lobule L,Inferior Temporal Gyrus Post R,SomMot,Limbic,5.835803952879633,3.3979834359489,0.0003999600039996002
5120,25,71,Precentral Gyrus L,Cingulate Gyrus Post L,SomMot,Cont,5.874267540971595,3.3979834359489,0.0003999600039996002
5121,25,72,Precentral Gyrus L,Cingulate Gyrus Ant L,SomMot,Cont,6.26412625400882,3.6990134316128813,0.00019998000199980009
6066,30,82,Temporal Occipital Fusiform Cortex L,Frontal Orbital Cortex L,DorsAttn,Default,4.8805288498849855,1.602103418604825,0.024997500249975
6512,32,161,Lateral Occipital Cortex Sup L,Temporal Pole R,DorsAttn,Limbic,4.732283879689375,1.3089619351538941,0.04909509049095091
15677,92,176,Middle Frontal Gyrus L,Precuneous Cortex R,Default,Cont,5.1553396369241,2.1549453872626056,0.0069993000699930035
21354,154,180,Central Opercular Cortex R,Superior Frontal Gyrus R,SalVentAttn,Cont,4.7733762897012,1.3799073723031052,0.0416958304169583
21355,154,181,Central Opercular Cortex R,Lateral Occipital Cortex Sup R,SalVentAttn,Default,4.8769743746503655,1.5952097106569245,0.02539746025397461
21444,155,210,Cingulate Gyrus Ant R,Pallidum L,SalVentAttn,Subcortical,4.8377703125477165,1.520036484319712,0.0301969803019698
21449,155,215,Cingulate Gyrus Ant R,Putamen R,SalVentAttn,Subcortical,4.760753604435607,1.3615541703222254,0.043495650434956505
